id,origami_type,task_type,method_type,incomplete_input,skipped_steps,total_time,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,date_time
15,Boat,Test1,Normal,None,,52.519,52.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 17:05
16,Boat,First1,Normal,None,,215.976,14.988,1.984,14.917,33.917,9.435,2.582,12.506,16.458,23.774,1.531,5.703,12.825,20.739,21.851,22.601,4/12/2019 12:04
16,Boat,Second1,Normal,None,,114.221,11.795,1.982,17.069,15.59,3.772,6.203,1.471,10.455,11.535,6.283,2.611,6.233,7.733,8.574,1.611,4/12/2019 12:07
16,Boat,Third1,Normal,None,,102.35,10.826,2.341,13.34,12.346,5.143,0.5,9.697,9.665,8.654,0.521,4.694,11.706,7.633,0.9,4.232,4/12/2019 12:09
16,Boat,Test1,Normal,None,,65.702,65.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2019 12:20
16,Swan,First2Q,Augmented,finishedStep2,,102.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2019 12:24
16,Swan,Second2Q,Augmented,None,,110.043,9.304,14.617,2.971,25.593,19.402,12.708,1.61,18.651,1.48,3.611,0,0,0,0,0,4/12/2019 12:27
16,Swan,Third2Q,Augmented,None,,86.523,2.051,32.126,3.782,14.617,15.227,3.503,4.242,6.333,3.543,1.01,0,0,0,0,0,4/12/2019 12:29
16,Swan,Test1Q,Augmented,None,,81.828,70.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2019 12:40
17,Swan,First1Q,Normal,finishedStep3,,170.939,95.414,11.045,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2019 13:38
17,Swan,Second1Q,Normal,None,,195.536,2.841,34.279,23.681,29.105,21.908,26.583,29.192,5.953,12.786,9.103,0,0,0,0,0,4/12/2019 13:42
17,Swan,Third1Q,Normal,None,,144.428,4.262,28.022,38.787,0.412,13.736,15.848,4.441,16.577,9.614,12.626,0,0,0,0,0,4/12/2019 13:45
